ell,n_sectors,Lambda_eff_vac3,Lambda_eff_vac2,Lambda_eff_vac4,Lambda_eff_vac1,Lambda_eff_vac5,Lambda_eff_aggregate,G_eff_vac3,G_eff_vac2,G_eff_vac4,G_eff_vac1,G_eff_vac5,G_eff_aggregate,Q_fluctuation_vac3,Q_fluctuation_vac2,Q_fluctuation_vac4,Q_fluctuation_vac1,Q_fluctuation_vac5,Q_fluctuation_aggregate,reheating_temp_vac3,reheating_temp_vac2,reheating_temp_vac4,reheating_temp_vac1,reheating_temp_vac5,reheating_temp_aggregate,Lambda_eff_vac0,G_eff_vac0,Q_fluctuation_vac0,reheating_temp_vac0
0.1,100,1.9999999999999996,7.12412091369852e-39,6.238234319384242e-61,1.5177472330437828e-259,1.7003919135821606e-292,1.9999999999999996,0.6999999999999998,6.530444170890311e-39,1.621940923039903e-60,1.7074656371742552e-259,9.635554176965577e-293,0.6999999999999998,0.09999999999999995,2.3747069712328404e-39,1.1228821774891636e-60,1.5177472330437828e-259,5.667973045273869e-293,0.09999999999999995,200.00000000000009,7.124120913698521e-37,6.238234319384242e-59,1.5177472330437827e-257,1.5870324526766833e-290,200.00000000000009,,,,
0.1,250,2.0000000000000004,2.904542431641487e-38,2.7510437700802035e-42,4.8222652503740866e-253,1.1796811841320603e-292,2.0000000000000004,0.6999999999999998,2.6624972290046973e-38,7.15271380220853e-42,5.425048406670848e-253,6.684860043415007e-293,0.6999999999999998,0.09999999999999996,9.681808105471628e-39,4.951878786144367e-42,4.8222652503740866e-253,3.932270613773534e-293,0.09999999999999996,200.00000000000014,2.90454243164149e-36,2.7510437700802036e-40,4.822265250374086e-251,1.1010357718565894e-290,200.00000000000014,,,,
0.1,500,2.0000000000000013,1.8564073261922908e-38,1.7061208079784933e-42,3.9790402232367147e-253,7.316054498721396e-293,2.0000000000000013,0.7000000000000003,1.7017067156762664e-38,4.435914100744084e-42,4.476420251141305e-253,4.1457642159421245e-293,0.7000000000000003,0.09999999999999995,6.188024420640969e-39,3.0710174543612893e-42,3.9790402232367147e-253,2.438684832907132e-293,0.09999999999999995,200.00000000000006,1.8564073261922922e-36,1.7061208079784937e-40,3.9790402232367136e-251,6.82831753213997e-291,200.00000000000006,,,,
0.1,1000,2.000000000000001,1.123720222308181e-38,6.331248705265408e-43,1.2992952410477e-249,2.6571907610800972e-195,2.000000000000001,0.6999999999999996,1.0300768704491665e-38,1.646124663369006e-42,1.4617071461786624e-249,1.5057414312787215e-195,0.6999999999999996,0.10000000000000002,3.7457340743606064e-39,1.1396247669477739e-42,1.2992952410477e-249,8.857302536933656e-196,0.10000000000000002,199.99999999999983,1.1237202223081821e-36,6.331248705265408e-41,1.2992952410477003e-247,2.4800447103414236e-193,199.99999999999983,0.0,0.0,0.0,0.0
0.1,2500,2.0000000000000013,1.273844460235673e-35,9.0311133268781e-36,9.661919545560942e-241,1.1207094168264659e-195,2.0000000000000013,0.6999999999999981,1.1676907552160338e-35,2.348089464988306e-35,1.0869659488756058e-240,6.350686695349972e-196,0.6999999999999981,0.09999999999999999,4.246148200785574e-36,1.625600398838058e-35,9.661919545560942e-241,3.735698056088219e-196,0.09999999999999999,200.0000000000001,1.2738444602356741e-33,9.031113326878101e-34,9.66191954556094e-239,1.0459954557047013e-193,200.0000000000001,0.0,0.0,0.0,0.0
0.1,5000,1.9999999999999993,4.52676591810152e-33,4.7049650072937645e-36,6.491036728202515e-240,5.614819749376258e-196,1.9999999999999993,0.7000000000000006,4.149535424926391e-33,1.223290901896379e-35,7.302416319227829e-240,3.1817311913132124e-196,0.7000000000000006,0.09999999999999991,1.5089219727005036e-33,8.468937013128778e-36,6.491036728202515e-240,1.8716065831254191e-196,0.09999999999999991,199.99999999999991,4.526765918101512e-31,4.704965007293765e-34,6.491036728202518e-238,5.2404984327511734e-194,199.99999999999991,0.0,0.0,0.0,0.0
0.1,10000,1.9999999999999976,2.2625229933880848e-33,1.97538247880137e-36,1.017872885290398e-234,2.357374787634722e-196,1.9999999999999976,0.7000000000000013,2.0739794106057355e-33,5.1359944448835636e-36,1.1451069959516975e-234,1.335845712993009e-196,0.7000000000000013,0.10000000000000005,7.5417433112935825e-34,3.555688461842468e-36,1.017872885290398e-234,7.857915958782407e-197,0.10000000000000005,199.99999999999977,2.2625229933880724e-31,1.975382478801371e-34,1.017872885290398e-232,2.2002164684590738e-194,199.99999999999977,0.0,0.0,0.0,0.0
0.25,100,1.9999995183842332,2.8893127229493596e-07,1.5911458270611386e-11,2.2565222692322464e-43,2.0448272561939503e-48,1.9999998073314171,0.6999998314344812,2.64853666270358e-07,4.136979150358961e-11,2.5385875528862775e-43,1.1587354451765719e-48,0.7000000963295173,0.09999997591921166,9.631042409831197e-08,2.8640624887100493e-11,2.2565222692322464e-43,6.8160908539798345e-49,0.10000007225827637,199.9999518384233,2.8893127229493586e-05,1.5911458270611386e-09,2.2565222692322465e-41,1.9085054391143537e-46,199.9999807331417,,,,
0.25,250,1.999999375070344,3.62990114923721e-07,4.986532620575825e-09,1.7126769197600132e-42,1.0658468428815186e-48,1.9999997430469914,0.6999997812746204,3.327409386800774e-07,1.2964984813497145e-08,1.926761534730015e-42,6.039798776328604e-49,0.7000001269805438,0.09999996875351723,1.2099670497457368e-07,8.975758717036486e-09,1.7126769197600132e-42,3.552822809605061e-49,0.10000009872598091,199.99993750703442,3.629901149237209e-05,4.986532620575826e-07,1.7126769197600132e-40,9.947903866894173e-47,199.99997430469918,,,,
0.25,500,1.9999995521588678,2.6299801160104806e-07,2.377778208329885e-09,2.107291058993603e-42,4.956483818208856e-49,1.9999998175346578,0.6999998432556036,2.4108151063429386e-07,6.182223341657699e-09,2.3707024413678044e-42,2.808674163651685e-49,0.7000000905193375,0.09999997760794337,8.766600386701604e-08,4.280000774993791e-09,2.107291058993603e-42,1.6521612727362855e-49,0.10000006955394801,199.99995521588673,2.629980116010479e-05,2.3777782083298857e-07,2.1072910589936033e-40,4.626051563661599e-47,199.9999817534657,,,,
0.25,1000,1.999999539225913,2.733522649100635e-07,1.2967444428122393e-09,3.0043814109464535e-42,1.2134264585897817e-33,1.9999998138749222,0.6999998387290702,2.505729095008913e-07,3.371535551311821e-09,3.3799290873147594e-42,6.876083265342097e-34,0.7000000926735153,0.09999997696129571,9.111742163668773e-08,2.3341399970620298e-09,3.0043814109464535e-42,4.04475486196594e-34,0.10000007041285734,199.99995392259143,2.733522649100633e-05,1.2967444428122388e-07,3.0043814109464535e-40,1.132531361350463e-31,199.99998138749237,1.2915729708506642e-123,1.2915729708506642e-123,2.5831459417013284e-124,1.2915729708506643e-121
0.25,2500,1.9999993474273805,3.62774195379962e-07,1.198723930071213e-08,3.1809239987939316e-41,4.857465727447757e-34,1.9999997221888153,0.6999997715995845,3.3254301243163217e-07,3.116682218185152e-08,3.5785394986431737e-41,2.752563912220396e-34,0.7000001353094191,0.09999996737136914,1.2092473179332056e-07,2.157703074128183e-08,3.1809239987939316e-41,1.6191552424825859e-34,0.10000010987313168,199.99993474273825,3.627741953799627e-05,1.1987239300712114e-06,3.18092399879393e-39,4.533634678951241e-32,199.9999722188817,5.17782305777479e-124,5.17782305777479e-124,1.035564611554958e-124,5.17782305777479e-122
0.25,5000,1.9999992468240546,4.3070508801952304e-07,8.833532420045165e-09,4.1124338135358835e-41,2.4448559671926393e-34,1.9999996863626748,0.6999997363884201,3.948129973512299e-07,2.2967184292117436e-08,4.626488040227872e-41,1.3854183814091623e-34,0.7000001541686016,0.09999996234120276,1.435683626731741e-07,1.590035835608131e-08,4.1124338135358835e-41,8.149519890642131e-35,0.10000012180992379,199.99992468240586,4.307050880195219e-05,8.833532420045152e-07,4.112433813535883e-39,2.2818655693797973e-32,199.9999686362679,2.6060979758096034e-124,2.6060979758096034e-124,5.212195951619207e-125,2.6060979758096035e-122
0.25,10000,1.9999992319511655,4.475582147790342e-07,5.529618990469332e-09,9.807215995431857e-41,1.2272583589145287e-34,1.9999996850389994,0.6999997311829077,4.1026169688078015e-07,1.4377009375220218e-08,1.1033117994860842e-40,6.954464033848997e-35,0.7000001558216139,0.09999996159755824,1.4918607159301056e-07,9.953314182844798e-09,9.807215995431857e-41,4.0908611963817625e-35,0.10000012073694402,199.99992319511657,4.4755821477903314e-05,5.529618990469318e-07,9.807215995431874e-39,1.1454411349868937e-32,199.99996850389996,1.4936219203406625e-122,1.4936219203406625e-122,2.9872438406813243e-123,1.4936219203406622e-120
0.5,100,1.9656447538302297,0.02003311448326073,0.000241680507044948,1.0786132511664233e-12,9.482458613411076e-14,1.9859195488217087,0.6879756638405803,0.01836368827632234,0.0006283693183168648,1.213439907562226e-12,5.3733932142662756e-14,0.7069677214364866,0.09828223769151147,0.006677704827753575,0.0004350249126809064,1.0786132511664233e-12,3.160819537803692e-14,0.10539496743305618,196.5644753830229,2.003311448326073,0.0241680507044948,1.0786132511664231e-10,8.850294705850338e-12,198.5919548821702,,,,
0.5,250,1.9524829518217452,0.026775033938569004,0.0007229979017544644,2.745952394615485e-12,6.74314706291223e-14,1.9799809836648823,0.6833690331376111,0.02454378111035492,0.001879794544561607,3.0891964439424204e-12,3.821116668983596e-14,0.7097926087956551,0.09762414759108728,0.008925011312856335,0.0013013962231580357,2.745952394615485e-12,2.24771568763741e-14,0.10785055512987009,195.24829518217464,2.6775033938569015,0.07229979017544644,2.745952394615485e-10,6.293603925384748e-12,197.99809836648788,,,,
0.5,500,1.9615240106976133,0.021615979125019086,0.0006123393542600014,4.1073770023480205e-12,3.429132547437026e-14,1.9837523291810344,0.6865334037441652,0.019814647531267483,0.0015920823210760033,4.6207991276415215e-12,1.9431751102143148e-14,0.7079401336011488,0.09807620053488074,0.007205326375006365,0.0011022108376680022,4.1073770023480205e-12,1.1430441824790089e-14,0.10638373775167391,196.15240106976148,2.1615979125019087,0.06123393542600012,4.10737700234802e-10,3.2005237109412245e-12,198.37523291810334,,,,
0.5,1000,1.9609828119660797,0.02190409461957168,0.0006275908830875176,3.9761758544145666e-12,9.425716577723983e-11,1.9835144975669723,0.6863439841881278,0.020078753401274057,0.0016317362960275457,4.473197836216388e-12,5.34123939404359e-11,0.708054473943315,0.09804914059830401,0.007301364873190565,0.0011296635895575312,3.9761758544145666e-12,3.1419055259079944e-11,0.10648016909644731,196.09828119660796,2.1904094619571706,0.06275908830875179,3.9761758544145664e-10,8.797335472542383e-09,198.35144975606883,2.2331979496726676e-33,2.2331979496726676e-33,4.466395899345335e-34,2.233197949672668e-31
0.5,2500,1.9586513114855657,0.023149113605016973,0.0006917081103696883,5.416867654935359e-12,3.828774951502343e-11,1.982492133244657,0.6855279590199486,0.021220020804598904,0.0017984410869611902,6.093976111802277e-12,2.1696391391846605e-11,0.708546420939299,0.0979325655742784,0.007716371201672312,0.001245074598665439,5.416867654935359e-12,1.2762583171674474e-11,0.1068940113927956,195.86513114855666,2.314911360501695,0.06917081103696876,5.416867654935359e-10,3.5735232880688537e-09,198.24921332421053,1.0832326565559323e-33,1.0832326565559323e-33,2.1664653131118647e-34,1.0832326565559325e-31
0.5,5000,1.9576543577051202,0.023650635003037088,0.000731979312532015,5.566404280691866e-12,1.9331227576131707e-11,1.9820369720455868,0.6851790251967932,0.021679748752784035,0.0019031462125832334,6.262204815778345e-12,1.09543622931413e-11,0.7087619201793771,0.09788271788525603,0.007883545001012359,0.0013175627625576249,5.566404280691866e-12,6.4437425253772376e-12,0.10708382566083617,195.76543577051177,2.3650635003037044,0.07319793125320129,5.566404280691866e-10,1.804247907105627e-09,198.20369720442957,5.460882744098531e-34,5.460882744098531e-34,1.0921765488197061e-34,5.460882744098531e-32
0.5,10000,1.957000365453103,0.023994785232588328,0.0007520814495292031,5.873384938396942e-12,9.836782559417927e-12,1.9817472321509306,0.6849501279085863,0.02199521979653931,0.001955411768775923,6.60755805569655e-12,5.574176783670156e-12,0.7089007594860833,0.0978500182726552,0.00799826174419612,0.0013537466091525629,5.873384938396942e-12,3.278927519805976e-12,0.10720202663515621,195.7000365453107,2.3994785232588303,0.07520814495292033,5.873384938396935e-10,9.180997055456741e-10,198.17472321502788,1.5006690600194027e-33,1.5006690600194027e-33,3.0013381200388054e-34,1.5006690600194027e-31
1.0,100,1.4395001321873147,0.296708197547937,0.016463627324410153,3.594977270548835e-05,3.136612753932588e-05,1.7527392729599067,0.50382504626556,0.27198251441894217,0.042805431043466395,4.044349429367439e-05,1.7774138938951333e-05,0.8186712093612011,0.07197500660936572,0.09890273251597896,0.029634529183938274,3.594977270548835e-05,1.045537584644196e-05,0.20055867345783487,143.9500132187315,29.67081975479369,1.646362732441015,0.0035949772705488347,0.0029275052370037486,175.27371818847377,,,,
1.0,250,1.293948014721267,0.35255225204299295,0.02955181476645548,7.947502762960643e-05,4.4213929136778135e-05,1.6761757704874818,0.4528818051524433,0.3231728977060768,0.07683471839278427,8.940940608330722e-05,2.5054559844174282e-05,0.8530038852172319,0.06469740073606334,0.1175174173476643,0.05319326657961988,7.947502762960643e-05,1.4737976378926047e-05,0.23550229766735606,129.39480147212666,35.255225204299286,2.9551814766455475,0.007947502762960641,0.004126633386099293,167.61728228922055,,,,
1.0,500,1.3674505885993726,0.30539009641709225,0.030796249439065608,0.00013591654636581997,3.08461874729664e-05,1.703803697189369,0.4786077060097805,0.2799409217156676,0.08007024854157056,0.0001529061146615475,1.7479506234680965e-05,0.8387892618879148,0.06837252942996866,0.10179669880569736,0.055433248990318075,0.00013591654636581997,1.0282062490988801e-05,0.2257486758348409,136.74505885993727,30.539009641709203,3.0796249439065604,0.013591654636581997,0.0028789774974768644,170.38016407768708,,,,
1.0,1000,1.3560369236490373,0.30699320928492124,0.03296496809854773,0.00014902314998641066,5.6472872929281896e-05,1.696200597110271,0.47461292327716326,0.28141044184451125,0.08570891705622415,0.00016765104373471203,3.20012946599264e-05,0.8419319345711421,0.0678018461824519,0.10233106976164034,0.05933694257738587,0.00014902314998641066,1.8824290976427294e-05,0.22963770597341074,135.60369236490385,30.699320928492075,3.2964968098547733,0.014902314998641066,0.005270801473399643,169.61968322520758,5.484884713074219e-11,5.484884713074219e-11,1.0969769426148437e-11,5.484884713074219e-09
1.0,2500,1.345871204965519,0.31250201425660484,0.03319442639947049,0.00018012671466818156,4.806161124120363e-05,1.6917958339844696,0.47105492173793173,0.28646017973522064,0.08630550863862325,0.00020264255400170424,2.7234913036682054e-05,0.84405048761578,0.06729356024827604,0.10416733808553477,0.05974996751904682,0.00018012671466818156,1.602053708040121e-05,0.2314070131119994,134.58712049655182,31.250201425660453,3.3194426399470505,0.018012671466818155,0.004485750382512338,169.17926298770521,3.6966046149792174e-11,3.6966046149792174e-11,7.393209229958434e-12,3.696604614979217e-09
1.0,5000,1.3364347305326014,0.31403323709540676,0.03492687454084356,0.00016650854929755977,3.957855104393871e-05,1.6856009292877152,0.4677521556864106,0.2878638006707893,0.09080987380619321,0.00018732211795975464,2.2427845591565278e-05,0.8466355801454664,0.06682173652663002,0.10467774569846862,0.0628683741735183,0.00016650854929755977,1.3192850347979571e-05,0.23454755780196687,133.64347305326024,31.403323709540622,3.4926874540843587,0.016650854929755966,0.003693998097434279,168.55982907176457,1.8521910962923476e-11,1.8521910962923476e-11,3.704382192584695e-12,1.8521910962923473e-09
1.0,10000,1.3236233484016637,0.317690221926754,0.03660825777027248,0.0001659529685302103,3.37761167415283e-05,1.678121557215132,0.46326817194058256,0.29121603676619234,0.09518147020270831,0.0001866970895964866,1.9139799486866044e-05,0.8498715158297364,0.06618116742008323,0.10589674064225138,0.06589486398649036,0.0001659529685302103,1.1258705580509434e-05,0.23814998372916962,132.36233484016657,31.76902219267547,3.6608257770272417,0.016595296853021028,0.0031524375625426393,167.81193054740183,3.1169812273255124e-11,3.1169812273255124e-11,6.2339624546510246e-12,3.1169812273255125e-09
2.0,100,1.053876350139881,0.4674304665029418,0.039306580465705496,0.002157054170059705,0.003340436300433402,1.566110887579021,0.3688567225489584,0.42847792762769676,0.1021971092108343,0.002426685941317168,0.001892913903578928,0.9038513592323856,0.05269381750699405,0.15581015550098068,0.07075184483826989,0.002157054170059705,0.0011134787668111341,0.2825263507831155,105.38763501398805,46.743046650294175,3.9306580465705494,0.21570541700597048,0.31177405470711755,156.58881918256586,,,,
2.0,250,0.878937825721081,0.5129505841953904,0.06169616250484823,0.004472454582533685,0.006134060608155856,1.4641910876120094,0.30762823900237823,0.4702047021791079,0.1604100225126054,0.0050315114053503945,0.003475967677954984,0.946750442777397,0.04394689128605404,0.17098352806513029,0.11105309250872683,0.004472454582533685,0.002044686869385285,0.3325006533118301,87.89378257210807,51.29505841953906,6.169616250484822,0.44724545825336837,0.5725123234278797,146.3782150238132,,,,
2.0,500,0.9462877330273791,0.45500031209844916,0.06724875011633828,0.008005459004563176,0.0047773241238331975,1.4813195783705628,0.3312007065595826,0.41708361942357847,0.17484675030247945,0.009006141380133573,0.0027071503368388114,0.9348443680026128,0.04731438665136897,0.15166677069948317,0.12104775020940886,0.008005459004563176,0.001592441374611066,0.3296268079394353,94.62877330273793,45.50003120984491,6.7248750116338245,0.8005459004563176,0.44588358489109836,148.10010900956408,,,,
2.0,1000,0.9300653033189218,0.4533192409215171,0.07143706086116186,0.009204554270249885,0.004207795404064892,1.4682502575190108,0.32552285616162274,0.41554263751139087,0.18573635823902082,0.010355123554031117,0.0023844173956367723,0.9395576956047975,0.046503265165946106,0.15110641364050575,0.12858670955009138,0.009204554270249885,0.001402598468021631,0.33680680164343385,93.00653033189222,45.33192409215175,7.143706086116185,0.9204554270249883,0.39272757104605666,146.79697378254073,1.6302743095321933e-05,1.6302743095321933e-05,3.2605486190643866e-06,0.0016302743095321934
2.0,2500,0.9191367394283888,0.456214318745775,0.07148331064558494,0.011048633455335868,0.0051946497800884886,1.4630901704224344,0.32169785879993573,0.4181964588502935,0.1858566076785209,0.01242971263725285,0.0029436348753834776,0.9411367912086478,0.04595683697141946,0.15207143958192476,0.12866995916205287,0.011048633455335868,0.0017315499266961634,0.33948092277088143,91.91367394283901,45.6214318745775,7.148331064558495,1.1048633455335866,0.48483397947492557,146.27438604370968,1.2518367261371157e-05,1.2518367261371157e-05,2.503673452274231e-06,0.0012518367261371156
2.0,5000,0.9084672049587116,0.455567709469876,0.07524466198637073,0.009943327255661851,0.0048028690938509595,1.4540320166219993,0.31796352173554954,0.41760373368071896,0.19563612116456414,0.011186243162619583,0.002721625819848876,0.9451174894208293,0.04542336024793561,0.15185590315662523,0.13544039157546742,0.009943327255661851,0.0016009563646169867,0.3442651873718127,90.84672049587128,45.55677094698761,7.52446619863708,0.9943327255661846,0.44826778209275586,145.37118253490775,6.2438575283059506e-06,6.2438575283059506e-06,1.24877150566119e-06,0.000624385752830595
2.0,10000,0.892426436847467,0.45820393397206893,0.07839217867893972,0.009792354043465174,0.004372126243552359,1.443197648977122,0.31234925289661414,0.4200202728077311,0.20381966456524342,0.011016398298898307,0.0024775382046796704,0.9496937459647958,0.04462132184237343,0.15273464465735623,0.1411059216220915,0.009792354043465174,0.0014573754145174526,0.3497137414181297,89.24264368474668,45.82039339720698,7.839217867893982,0.9792354043465165,0.40806511606488655,144.29061738942195,1.0619191629268935e-05,1.0619191629268935e-05,2.123838325853787e-06,0.0010619191629268935
